wpdx_id,lat_deg,lon_deg,status_clean,pop_served_500m,install_year,is_urban,water_source_clean,water_tech_clean,geom_wkt,cluster_id
6GFP6X93+GFQ,-0.7811618,34.9537449,"Functional, not in use",2279.5030546188354,,f,Protected Well,Public Tapstand,POINT(34.9537449 -0.7811618),
6GFP6XC5+5QP,-0.77954,34.95946,"Functional, not in use",1105.611665725708,2012,f,Borehole/Tubewell,,POINT(34.95946 -0.77954),
6GFP6XF2+JG2,-0.7759944,34.9512501,"Functional, not in use",4332.971920013428,1990,f,Protected Well,Public Tapstand,POINT(34.9512501 -0.7759944),
6GFP6XH2+P8R,-0.7706425,34.9507731,"Functional, not in use",3350.7647638320923,2020,f,Protected Well,Public Tapstand,POINT(34.9507731 -0.7706425),
6GFP6XH2+X5R,-0.7700195,34.9503881,"Functional, not in use",3137.403217315674,2019,f,Undefined Well,Public Tapstand,POINT(34.9503881 -0.7700195),
6GFP6XH5+W9P,-0.7701724,34.9584638,"Functional, needs repair",1833.0044031143188,,f,Protected Well,Public Tapstand,POINT(34.9584638 -0.7701724),331
6GFP6XH7+QG9,-0.770593,34.9638583,"Functional, not in use",1407.181158065796,,f,Protected Well,Public Tapstand,POINT(34.9638583 -0.770593),
6GFP6XJ3+64G,-0.7694335,34.9528384,"Functional, needs repair",2316.216054916382,2017,f,Protected Well,Public Tapstand,POINT(34.9528384 -0.7694335),331
6GFP6XJ4+VCW,-0.767772,34.9560789,"Functional, needs repair",1581.2586603164673,,f,Protected Well,Public Tapstand,POINT(34.9560789 -0.767772),331
6GFP6XJ7+7MG,-0.7693233,34.9642133,"Functional, needs repair",1410.9084844589233,,f,Protected Well,Public Tapstand,POINT(34.9642133 -0.7693233),331
6GFP6XJQ+P3W,-0.7681433,34.987705,"Functional, not in use",356.6261646747589,2015,f,Protected Well,Public Tapstand,POINT(34.987705 -0.7681433),
6GFP6XMF+HFW,-0.766015,34.97371,"Functional, not in use",684.5341935157776,,f,Protected Well,Public Tapstand,POINT(34.97371 -0.766015),
6GFP6XMP+2Q3,-0.7674783,34.98691,"Functional, not in use",349.67132806777954,,f,Protected Well,Public Tapstand,POINT(34.98691 -0.7674783),
6GFP6XMP+3JR,-0.767275,34.986505,"Functional, not in use",352.125851392746,2020,f,Protected Well,Public Tapstand,POINT(34.986505 -0.767275),
6GFP6XP4+QQQ,-0.7630333,34.9569867,"Functional, needs repair",940.9079232215881,2015,f,Protected Well,Public Tapstand,POINT(34.9569867 -0.7630333),331
6GFP6XPJ+G3V,-0.7636469,34.9801584,"Functional, not in use",413.21580052375793,,f,Protected Well,Public Tapstand,POINT(34.9801584 -0.7636469),
6GFP6XQJ+7HQ,-0.7618,34.9814733,"Functional, not in use",407.6634066104889,,f,Protected Well,Public Tapstand,POINT(34.9814733 -0.7618),
6GFP6XQR+M43,-0.7608685,34.9903054,"Functional, needs repair",342.1041877269745,,f,Borehole/Tubewell,Public Tapstand,POINT(34.9903054 -0.7608685),
6GFP6XV5+55J,-0.757045,34.9579017,"Functional, not in use",682.0491528511047,,f,Protected Well,Public Tapstand,POINT(34.9579017 -0.757045),
6GFP6XVJ+6WJ,-0.7569023,34.9822743,"Functional, not in use",385.36030745506287,,f,Protected Well,Public Tapstand,POINT(34.9822743 -0.7569023),
6GFP6XW5+M25,-0.753355,34.95762,"Functional, needs repair",701.607186794281,,f,Protected Well,Public Tapstand,POINT(34.95762 -0.753355),
6GFP6XW6+JMH,-0.753435,34.961735,"Functional, not in use",720.7091007232666,,f,Protected Well,Public Tapstand,POINT(34.961735 -0.753435),
6GFP6XWC+XH7,-0.7525835,34.9714219,"Functional, not in use",618.8422484397888,2007,f,Protected Well,Public Tapstand,POINT(34.9714219 -0.7525835),
6GFP6XXC+5GW,-0.7520191,34.9713407,"Functional, not in use",610.5095820426941,2017,f,Protected Well,Public Tapstand,POINT(34.9713407 -0.7520191),
6GFP6XXM+98F,-0.7515583,34.9832883,"Functional, not in use",427.55180263519287,,f,Protected Well,Public Tapstand,POINT(34.9832883 -0.7515583),
6GFP6XXW+758,-0.751835,34.99546,"Functional, not in use",308.4763548374176,,f,Protected Well,Public Tapstand,POINT(34.99546 -0.751835),
6GFP73RX+QH7,-0.7080834,34.09892,Non-Functional,294.39574337005615,1986,f,Borehole/Tubewell,Hand Pump,POINT(34.09892 -0.7080834),
6GFP747W+W3M,-0.7351667,34.14518,Non-Functional,119.43798905611038,1995,f,Borehole/Tubewell,Hand Pump,POINT(34.14518 -0.7351667),
6GFP74FX+2G6,-0.7274666,34.14878,Non-Functional,93.79389262199402,,f,Borehole/Tubewell,Hand Pump,POINT(34.14878 -0.7274666),
6GFP74MR+562,-0.7171167,34.1405,Non-Functional,83.96373552083969,,f,Borehole/Tubewell,Hand Pump,POINT(34.1405 -0.7171167),
6GFP74RP+3CG,-0.7098167,34.13608,Non-Functional,114.83011674880981,,f,Borehole/Tubewell,Hand Pump,POINT(34.13608 -0.7098167),
6GFP74X9+WF3,-0.7002333,34.11867,Non-Functional,215.6692363023758,,f,Protected Spring,,POINT(34.11867 -0.7002333),
6GFP75CH+CVG,-0.72895,34.1797,Non-Functional,77.33058559894562,,f,Borehole/Tubewell,Hand Pump,POINT(34.1797 -0.72895),
6GFP75R7+QX3,-0.7081167,34.16492,Non-Functional,118.09490883350372,,f,Borehole/Tubewell,Hand Pump,POINT(34.16492 -0.7081167),
6GFP763V+9W8,-0.746514976,34.24486923,Non-Functional,183.84980130195618,1985,f,Borehole/Tubewell,Hand Pump,POINT(34.24486923 -0.746514976),
6GFP7CV9+8C6,-0.70670677,34.41852968,Non-Functional,227.75473058223724,,f,Borehole/Tubewell,,POINT(34.41852968 -0.70670677),28
6GFP766F+8X4,-0.7392333,34.22495,Non-Functional,180.1164333820343,2010,f,Borehole/Tubewell,Hand Pump,POINT(34.22495 -0.7392333),
6GFP7737+CGM,-0.746411681,34.26394653,Non-Functional,216.6122008562088,1988,f,Borehole/Tubewell,Hand Pump,POINT(34.26394653 -0.746411681),
6GFP7775+JFC,-0.735951662,34.25857544,Non-Functional,204.73544228076935,2009,f,Borehole/Tubewell,Hand Pump,POINT(34.25857544 -0.735951662),
6GFP7839+2MX,-0.747458279,34.31942749,Non-Functional,367.106564283371,2007,f,Borehole/Tubewell,Hand Pump,POINT(34.31942749 -0.747458279),225
6GFP78GM+W66,-0.7227167,34.33303,Non-Functional,218.2749581336975,1996,f,Protected Well,Hand Pump,POINT(34.33303 -0.7227167),
6GFP78HJ+MX7,-0.720825809,34.33242821,Non-Functional,229.7696716785431,,f,Borehole/Tubewell,,POINT(34.33242821 -0.720825809),
6GFP78XX+6HG,-0.7019333,34.34895,Non-Functional,194.46705532073975,1995,f,Protected Well,Hand Pump,POINT(34.34895 -0.7019333),
6GFP78XX+X9Q,-0.699891686,34.34852982,Non-Functional,199.89255344867706,,f,Borehole/Tubewell,,POINT(34.34852982 -0.699891686),
6GFP7925+29F,-0.749960005,34.35852814,Non-Functional,404.3803246021271,2003,f,Borehole/Tubewell,Hand Pump,POINT(34.35852814 -0.749960005),78
6GFP7927+QJG,-0.7480667,34.36407,Non-Functional,352.33070182800293,,f,Protected Well,Hand Pump,POINT(34.36407 -0.7480667),78
6GFP7952+RJJ,-0.7404166,34.35152,Non-Functional,318.6321462392807,2009,f,Protected Well,Hand Pump,POINT(34.35152 -0.7404166),
6GFP7988+G2G,-0.7337,34.36507,Non-Functional,1120.3735995292664,1982,f,Protected Well,Hand Pump,POINT(34.36507 -0.7337),171
